year,avgTemp,maxTemp,minTemp,avgPrice
20130101,7.2,10.7,3.5,
20130102,6.2,10.9,1.3,2434
20130103,2.3,5.5,0.1,2501
20130104,3.4,6.7,0.3,2483
20130105,5.1,8.8,2.5,
20130106,5.4,10,1.8,
20130107,6.6,8.6,3.8,2491
20130108,7.9,10.8,5.1,2491
20130109,5,8.9,1.7,2491
20130110,4.6,7.4,2.1,2478
20130111,6.9,9.8,4.2,2486
20130112,9.8,14,6.6,
20130113,8.8,10.2,6.9,
20130114,9.7,14.3,6.1,2486
20130115,8.6,11.4,4.1,2491
20130116,7.1,11.1,4.1,2491
20130117,4,7.1,1.3,2551
20130118,4.5,9.4,0.1,2551
20130119,6.5,11.3,1.8,
20130120,8.6,12.9,4.2,
20130121,13.3,16,9.9,2565
20130122,9.6,12.2,8.3,2565
20130123,7.7,10.8,4.6,2565
20130124,6.6,9.9,3.7,2545
20130125,4,7.4,2.2,2529
20130126,4.8,9.6,1.8,
20130127,3.1,6.4,0.9,
20130128,6,10.9,1,2541
20130129,8.3,12.1,3.9,2532
20130130,10.9,15.2,6.2,2532
20130131,13.7,16.5,9.7,2515
20130201,14.9,16.6,12.6,2520
20130202,11.8,14.2,8.4,
20130203,10.1,13,6.1,
20130204,12.7,18.9,8.3,2431
20130205,9.6,10.8,6.9,2424
20130206,8.2,10.7,5.7,2400
20130207,3.3,5.9,-0.9,2438
20130208,1.5,4.9,-1.1,2463
20130209,4.1,7.4,0.7,
20130210,6.4,10.7,2.5,
20130211,6.8,10.7,4.1,
20130212,7.1,12.4,4.2,2475
20130213,6,9.4,2.2,2499
20130214,7.6,9.3,5.6,2518
20130215,7.6,12.8,3.6,2529
20130216,5.8,9.1,1.7,
20130217,10.2,14.3,4.8,
20130218,10.2,14.3,6.1,2535
20130219,5.8,8.4,2.9,2547
20130220,6.2,9.7,2.9,2583
20130221,7.5,11.5,3.5,2737
20130222,9,14.3,6.4,2752
20130223,8.1,11.9,3.5,
20130224,8.7,12.2,5.6,
20130225,10.3,13.2,6.5,2765
20130226,10.9,12.7,9.2,2761
20130227,12.9,15.7,10.4,2761
20130228,14.2,17.8,8,2710
20130301,11.6,16.8,5.8,
20130302,8,11.6,4.5,
20130303,7.7,12.7,4.1,
20130304,9.9,15,4,3094
20130305,10.3,15,5.6,3173
20130306,12.8,16.7,8.2,3260
20130307,13.7,16.3,10.7,3316
20130308,14.5,19.3,8.8,3316
20130309,17.1,21.3,11,
20130310,14.6,19.8,10,
20130311,11.6,15.6,8.1,3369
20130312,14.7,18.2,9.2,3335
