year,avgTemp,minTemp,maxTemp,rainFall,avgPrice
20130102,6.2,1.3,10.9,0,2434
20130103,2.3,0.1,5.5,0,2501
20130104,3.4,0.3,6.7,0,2483
20130105,5.1,2.5,8.8,0,2515
20130106,5.4,1.8,10,0,2515
20130107,6.6,3.8,8.6,0,2491
20130108,7.9,5.1,10.8,0,2491
20130109,5,1.7,8.9,0,2491
20130110,4.6,2.1,7.4,0,2478
20130111,6.9,4.2,9.8,0,2486
20130112,9.8,6.6,14,0,2515
20130113,8.8,6.9,10.2,0.4,2515
20130114,9.7,6.1,14.3,0,2486
20130115,8.6,4.1,11.4,0,2491
20130116,7.1,4.1,11.1,0,2491
20130117,4,1.3,7.1,0,2551
20130118,4.5,0.1,9.4,0,2551
20130119,6.5,1.8,11.3,0,2515
20130120,8.6,4.2,12.9,2,2515
20130121,13.3,9.9,16,37.5,2565
20130122,9.6,8.3,12.2,0,2565
20130123,7.7,4.6,10.8,0,2565
20130124,6.6,3.7,9.9,0,2545
20130125,4,2.2,7.4,0,2529
20130126,4.8,1.8,9.6,0,2515
20130127,3.1,0.9,6.4,0,2515
20130128,6,1,10.9,0,2541
20130129,8.3,3.9,12.1,0,2532
20130130,10.9,6.2,15.2,0,2532
20130131,13.7,9.7,16.5,0.2,2515
20130201,14.9,12.6,16.6,22,2520
20130202,11.8,8.4,14.2,0,2571
20130203,10.1,6.1,13,10.5,2571
20130204,12.7,8.3,18.9,2,2431
20130205,9.6,6.9,10.8,10.5,2424
20130206,8.2,5.7,10.7,0,2400
20130207,3.3,-0.9,5.9,0,2438
20130208,1.5,-1.1,4.9,0,2463
20130209,4.1,0.7,7.4,0,2571
20130210,6.4,2.5,10.7,0,2571
20130211,6.8,4.1,10.7,0,2571
20130212,7.1,4.2,12.4,0,2475
20130213,6,2.2,9.4,0,2499
20130214,7.6,5.6,9.3,3,2518
20130215,7.6,3.6,12.8,0.5,2529
20130216,5.8,1.7,9.1,0,2571
20130217,10.2,4.8,14.3,41.5,2571
20130218,10.2,6.1,14.3,7.5,2535
20130219,5.8,2.9,8.4,6,2547
20130220,6.2,2.9,9.7,0,2583
20130221,7.5,3.5,11.5,0,2737
20130222,9,6.4,14.3,0,2752
20130223,8.1,3.5,11.9,0,2571
20130224,8.7,5.6,12.2,0,2571
20130225,10.3,6.5,13.2,0,2765
20130226,10.9,9.2,12.7,2.5,2761
20130227,12.9,10.4,15.7,0,2761
20130228,14.2,8,17.8,0,2710
20130301,11.6,5.8,16.8,1,3238
20130302,8,4.5,11.6,0,3238
20130303,7.7,4.1,12.7,0,3238
20130304,9.9,4,15,0,3094
20130305,10.3,5.6,15,0,3173
20130306,12.8,8.2,16.7,0,3260
20130307,13.7,10.7,16.3,0,3316
20130308,14.5,8.8,19.3,0,3316
20130309,17.1,11,21.3,0,3238
20130310,14.6,10,19.8,0,3238
20130311,11.6,8.1,15.6,0,3369
20130312,14.7,9.2,18.2,0,3335
20130313,13.9,10.1,17.8,4.5,3335
20130314,10,6.7,14.6,0,3321
20130315,10.8,7.4,14.6,0,3143
20130316,11.8,7,16.2,0,3238
20130317,13.3,8.4,17.4,15.5,3238
20130318,14.3,10.8,17.7,32.5,3143
20130319,14.6,9.8,17.4,0,3143
20130320,12.5,6,18.1,5,3143
20130321,8.2,3.6,11.7,0,3238
20130322,10.6,6.7,13.1,0.4,3238
20130323,12.1,9.4,15.4,0,3238
20130324,12.8,10.3,15.1,0,3238
20130325,9.7,6.1,14.7,0,3238
20130326,10.4,5.6,13.8,0,3238
20130327,12.9,10.4,16.1,0.5,3238
20130328,14.2,8.9,18.8,0,3238
20130329,13.2,10.2,16.5,0,3238
20130330,12.8,7.5,16.8,0,3238
20130331,13.5,11.2,17.1,0,3238
20130401,14.4,11.5,18,0,3238
20130402,13.3,8.1,18.4,0,3238
20130403,13.4,7.3,17.6,0,3238
20130404,14.7,11.8,21.8,0,3238
20130405,16.3,13,19.4,2.5,3238
20130406,12.9,5.9,20.5,26,3238
20130407,9,5.8,14.1,0,3238
20130408,11.8,6.7,16.3,0,3238
20130409,12.3,8.6,17.3,0,3238
20130410,9.3,6.5,12.8,0,3238
20130411,10.9,8,15.3,0.3,3238
20130412,12.3,7.8,16.9,0,3238
