year,avgPrice
20130102,2434
20130103,2501
20130104,2483
20130107,2491
20130108,2491
20130109,2491
20130110,2478
20130111,2486
20130114,2486
20130115,2491
20130116,2491
20130117,2551
20130118,2551
20130121,2565
20130122,2565
20130123,2565
20130124,2545
20130125,2529
20130128,2541
20130129,2532
20130130,2532
20130131,2515
20130201,2520
20130204,2431
20130205,2424
20130206,2400
20130207,2438
20130208,2463
20130212,2475
20130213,2499
20130214,2518
20130215,2529
20130218,2535
20130219,2547
20130220,2583
20130221,2737
20130222,2752
20130225,2765
20130226,2761
20130227,2761
20130228,2710
20130304,3094
20130305,3173
20130306,3260
20130307,3316
20130308,3316
20130311,3369
20130312,3335
20130313,3335
20130314,3321
20130315,3143
20130318,3143
20130319,3143
20130320,3143
20131021,2835
20131022,2901
20131023,2913
20131024,2827
20131025,2828
20131028,2869
20131029,2869
20131030,2830
20131031,2898
20131101,2892
20131104,2929
20131105,2891
20131106,2876
20131107,2753
20131108,2749
20131111,2740
20131112,2740
20131113,2740
20131114,2549
20131115,2541
20131118,2607
20131119,2587
20131120,2549
20131121,2623
20131122,2562
20131125,2647
20131126,2680
20131127,2661
20131128,2668
20131129,2693
20131202,2729
20131203,2729
20131204,2729
20131205,2613
20131206,2562
20131209,2599
20131210,2582
20131211,2581
20131212,2446
20131213,2446
20131216,2462
20131217,2471
20131218,2460
20131219,2523
20131220,2519
20131223,2560
20131224,2560
20131226,2572
20131227,2568
20131230,2593
20131231,2570
20141231,2525
20150102,2531
20150105,2437
20150106,2419
20150107,2404
20150108,2423
20150109,2402
20150112,2395
20150113,2390
20150114,2383
20150115,2458
20150116,2470
20150119,2479
20150120,2479
20150121,2479
20150122,2375
20150123,2373
20150126,2393
20150127,2406
20150128,2406
20150129,2380
20150130,2380
20150202,2402
20150203,2398
20150204,2382
20150205,2374
20150206,2366
20150209,2452
20150210,2452
20150211,2457
20150212,2430
20150213,2430
20150216,2426
20150217,2426
20150223,2394
20150224,2394
20150225,2394
20150226,2394
20150227,2407
20150302,2407
20150303,2402
20150304,2499
20150305,2499
20150306,2499
20150309,2499
20150310,2499
20150311,2482
20150312,2498
20150313,3388
20150316,3363
20150317,3464
