year,avgTemp,maxTemp,minTemp,rainFall,avgPrice
20130102,6.2,10.9,1.3,0,2434
20130103,2.3,5.5,0.1,0,2501
20130104,3.4,6.7,0.3,0,2483
20130107,6.6,8.6,3.8,0,2491
20130108,7.9,10.8,5.1,0,2491
20130109,5,8.9,1.7,0,2491
20130110,4.6,7.4,2.1,0,2478
20130111,6.9,9.8,4.2,0,2486
20130114,9.7,14.3,6.1,0,2486
20130115,8.6,11.4,4.1,0,2491
20130116,7.1,11.1,4.1,0,2491
20130117,4,7.1,1.3,0,2551
20130118,4.5,9.4,0.1,0,2551
20130121,13.3,16,9.9,37.5,2565
20130122,9.6,12.2,8.3,0,2565
20130123,7.7,10.8,4.6,0,2565
20130124,6.6,9.9,3.7,0,2545
20130125,4,7.4,2.2,0,2529
20130128,6,10.9,1,0,2541
20130129,8.3,12.1,3.9,0,2532
20130130,10.9,15.2,6.2,0,2532
20130131,13.7,16.5,9.7,0.2,2515
20130201,14.9,16.6,12.6,22,2520
20130204,12.7,18.9,8.3,2,2431
20130205,9.6,10.8,6.9,10.5,2424
20130206,8.2,10.7,5.7,0,2400
20130207,3.3,5.9,-0.9,0,2438
20130208,1.5,4.9,-1.1,0,2463
20130212,7.1,12.4,4.2,0,2475
20130213,6,9.4,2.2,0,2499
20130214,7.6,9.3,5.6,3,2518
20130215,7.6,12.8,3.6,0.5,2529
20130218,10.2,14.3,6.1,7.5,2535
20130219,5.8,8.4,2.9,6,2547
20130220,6.2,9.7,2.9,0,2583
20130221,7.5,11.5,3.5,0,2737
20130222,9,14.3,6.4,0,2752
20130225,10.3,13.2,6.5,0,2765
20130226,10.9,12.7,9.2,2.5,2761
20130227,12.9,15.7,10.4,0,2761
20130228,14.2,17.8,8,0,2710
20130304,9.9,15,4,0,3094
20130305,10.3,15,5.6,0,3173
20130306,12.8,16.7,8.2,0,3260
20130307,13.7,16.3,10.7,0,3316
20130308,14.5,19.3,8.8,0,3316
20130311,11.6,15.6,8.1,0,3369
20130312,14.7,18.2,9.2,0,3335
20130313,13.9,17.8,10.1,4.5,3335
20130314,10,14.6,6.7,0,3321
20130315,10.8,14.6,7.4,0,3143
20130318,14.3,17.7,10.8,32.5,3143
20130319,14.6,17.4,9.8,0,3143
20130320,12.5,18.1,6,5,3143
20131021,20,24.1,16.2,0,2835
20131022,20.3,23.4,18.6,0,2901
20131023,20.2,22.2,18.5,0,2913
20131024,20.4,24.8,16.7,0,2827
20131025,18.7,23.5,14.6,0,2828
20131028,17.8,22.1,13.9,0,2869
20131029,19,23.4,15.1,0,2869
20131030,19.3,22.6,15.4,0,2830
20131031,18.8,22.8,16.3,0,2898
20131101,20.2,24.3,16.3,0,2892
20131104,17.8,21.1,15.1,0,2929
20131105,19,22.6,15.3,0,2891
20131106,20.3,23.3,17.9,0,2876
20131107,18.3,23.4,14.5,0,2753
20131108,16.8,20.9,13.1,0,2749
20131111,12.4,15.6,9.9,0,2740
20131112,12.3,15.5,9.6,0,2740
20131113,13,16.1,10.2,0,2740
20131114,14.1,17.9,9.5,0,2549
20131115,15,20,11.4,0.5,2541
20131118,8.7,11.8,5.4,3.5,2607
20131119,8.8,11.5,5.7,1,2587
20131120,10.1,13.5,7.4,0,2549
20131121,10.6,15.9,6.1,0,2623
20131122,11.9,15.6,7.8,0,2562
20131125,12.2,14.4,9.7,2.5,2647
20131126,10.6,13.7,8.1,0,2680
20131127,10,14.9,4.7,1,2661
20131128,4.5,8,2.6,5,2668
20131129,6.4,9,3.2,4,2693
20131202,9.6,15.4,6.3,0,2729
20131203,9.8,14.6,5.5,0,2729
20131204,11.3,16.4,7.1,0,2729
20131205,12.7,17.6,8.5,0,2613
20131206,12.5,16,9.8,0,2562
20131209,12.8,16.6,7.8,20,2599
20131210,8.8,11.9,6.7,0,2582
20131211,8.1,10.5,5.1,1,2581
20131212,8.9,11.5,3.7,0,2446
20131213,8,10.9,4.7,0,2446
20131216,8.3,11.7,6.1,0.5,2462
20131217,9.7,11.4,6.9,5,2471
20131218,10.1,13.6,8.6,1,2460
20131219,5.3,9,2.3,0.5,2523
20131220,5.8,8.3,3.7,0.1,2519
20131223,8.2,12.3,5.8,0,2560
20131224,7.4,12.8,3.8,0,2560
20131226,8.8,13.1,4.8,0,2572
20131227,3.7,6.6,2.2,0,2568
20131230,8.2,11.3,6,0,2593
