,year,avgTemp,maxTemp,minTemp,rainFall
0,2013-1-1,7.2,10.7,3.5,0
1,2013-1-2,6.2,10.9,1.3,0
2,2013-1-3,2.3,5.5,0.1,0
3,2013-1-4,3.4,6.7,0.3,0
4,2013-1-5,5.1,8.8,2.5,0
5,2013-1-6,5.4,10,1.8,0
6,2013-1-7,6.6,8.6,3.8,0
7,2013-1-8,7.9,10.8,5.1,0
8,2013-1-9,5,8.9,1.7,0
9,2013-1-10,4.6,7.4,2.1,0
10,2013-1-11,6.9,9.8,4.2,0
11,2013-1-12,9.8,14,6.6,0
12,2013-1-13,8.8,10.2,6.9,0.4
13,2013-1-14,9.7,14.3,6.1,0
14,2013-1-15,8.6,11.4,4.1,0
15,2013-1-16,7.1,11.1,4.1,0
16,2013-1-17,4,7.1,1.3,0
17,2013-1-18,4.5,9.4,0.1,0
18,2013-1-19,6.5,11.3,1.8,0
19,2013-1-20,8.6,12.9,4.2,2
20,2013-1-21,13.3,16,9.9,37.5
21,2013-1-22,9.6,12.2,8.3,0
22,2013-1-23,7.7,10.8,4.6,0
23,2013-1-24,6.6,9.9,3.7,0
24,2013-1-25,4,7.4,2.2,0
25,2013-1-26,4.8,9.6,1.8,0
26,2013-1-27,3.1,6.4,0.9,0
27,2013-1-28,6,10.9,1,0
28,2013-1-29,8.3,12.1,3.9,0
29,2013-1-30,10.9,15.2,6.2,0
30,2013-1-31,13.7,16.5,9.7,0.2
31,2013-2-1,14.9,16.6,12.6,22
32,2013-2-2,11.8,14.2,8.4,0
33,2013-2-3,10.1,13,6.1,10.5
34,2013-2-4,12.7,18.9,8.3,2
35,2013-2-5,9.6,10.8,6.9,10.5
36,2013-2-6,8.2,10.7,5.7,0
37,2013-2-7,3.3,5.9,-0.9,0
38,2013-2-8,1.5,4.9,-1.1,0
39,2013-2-9,4.1,7.4,0.7,0
40,2013-2-10,6.4,10.7,2.5,0
41,2013-2-11,6.8,10.7,4.1,0
42,2013-2-12,7.1,12.4,4.2,0
43,2013-2-13,6,9.4,2.2,0
44,2013-2-14,7.6,9.3,5.6,3
45,2013-2-15,7.6,12.8,3.6,0.5
46,2013-2-16,5.8,9.1,1.7,0
47,2013-2-17,10.2,14.3,4.8,41.5
48,2013-2-18,10.2,14.3,6.1,7.5
49,2013-2-19,5.8,8.4,2.9,6
50,2013-2-20,6.2,9.7,2.9,0
51,2013-2-21,7.5,11.5,3.5,0
52,2013-2-22,9,14.3,6.4,0
53,2013-2-23,8.1,11.9,3.5,0
54,2013-2-24,8.7,12.2,5.6,0
55,2013-2-25,10.3,13.2,6.5,0
56,2013-2-26,10.9,12.7,9.2,2.5
57,2013-2-27,12.9,15.7,10.4,0
58,2013-2-28,14.2,17.8,8,0
59,2013-3-1,11.6,16.8,5.8,1
60,2013-3-2,8,11.6,4.5,0
61,2013-3-3,7.7,12.7,4.1,0
62,2013-3-4,9.9,15,4,0
63,2013-3-5,10.3,15,5.6,0
64,2013-3-6,12.8,16.7,8.2,0
65,2013-3-7,13.7,16.3,10.7,0
66,2013-3-8,14.5,19.3,8.8,0
67,2013-3-9,17.1,21.3,11,0
68,2013-3-10,14.6,19.8,10,0
69,2013-3-11,11.6,15.6,8.1,0
70,2013-3-12,14.7,18.2,9.2,0
71,2013-3-13,13.9,17.8,10.1,4.5
72,2013-3-14,10,14.6,6.7,0
73,2013-3-15,10.8,14.6,7.4,0
74,2013-3-16,11.8,16.2,7,0
75,2013-3-17,13.3,17.4,8.4,15.5
76,2013-3-18,14.3,17.7,10.8,32.5
77,2013-3-19,14.6,17.4,9.8,0
78,2013-3-20,12.5,18.1,6,5
79,2013-3-21,8.2,11.7,3.6,0
80,2013-3-22,10.6,13.1,6.7,0.4
81,2013-3-23,12.1,15.4,9.4,0
82,2013-3-24,12.8,15.1,10.3,0
83,2013-3-25,9.7,14.7,6.1,0
84,2013-3-26,10.4,13.8,5.6,0
85,2013-3-27,12.9,16.1,10.4,0.5
86,2013-3-28,14.2,18.8,8.9,0
87,2013-3-29,13.2,16.5,10.2,0
88,2013-3-30,12.8,16.8,7.5,0
89,2013-3-31,13.5,17.1,11.2,0
90,2013-4-1,14.4,18,11.5,0
91,2013-4-2,13.3,18.4,8.1,0
92,2013-4-3,13.4,17.6,7.3,0
93,2013-4-4,14.7,21.8,11.8,0
94,2013-4-5,16.3,19.4,13,2.5
95,2013-4-6,12.9,20.5,5.9,26
96,2013-4-7,9,14.1,5.8,0
97,2013-4-8,11.8,16.3,6.7,0
98,2013-4-9,12.3,17.3,8.6,0
99,2013-4-10,9.3,12.8,6.5,0
100,2013-4-11,10.9,15.3,8,0.3
101,2013-4-12,12.3,16.9,7.8,0
102,2013-4-13,13.7,17.7,8.2,0
103,2013-4-14,16.5,21.7,13,0
104,2013-4-15,15,19.9,10.2,0
105,2013-4-16,18.8,21.9,14.1,0
106,2013-4-17,17.1,21.5,15.2,0.2
107,2013-4-18,16.3,19.2,14.5,0
108,2013-4-19,13.6,16.8,11.5,0
109,2013-4-20,11.3,13.5,9.8,2
110,2013-4-21,12.4,17.6,8.1,0
111,2013-4-22,14.3,18.5,8.4,0
112,2013-4-23,15.4,17,13.7,63.5
113,2013-4-24,15.3,18.4,11.9,0
114,2013-4-25,15,19.3,11.3,0
115,2013-4-26,15.2,19.7,11.4,0
116,2013-4-27,16.2,20.3,10.3,0
117,2013-4-28,19,22.5,14.6,0
118,2013-4-29,17.8,19.9,15.6,12
119,2013-4-30,15.4,18.1,11.9,6
120,2013-5-1,14.4,18.8,11.2,0
121,2013-5-2,15,20.3,11.1,0
122,2013-5-3,16,19.8,11.7,0
123,2013-5-4,16.5,19.9,13.1,0
124,2013-5-5,17,21.1,12.5,0
125,2013-5-6,17.8,23.5,12.7,0
126,2013-5-7,18.5,22.6,13.9,0
127,2013-5-8,18.8,22.2,16.6,0
128,2013-5-9,19.5,23,16.2,23
129,2013-5-10,19.1,26.1,16.3,35.5
130,2013-5-11,18.7,24.5,14.8,0
131,2013-5-12,18.7,21,14.7,0
132,2013-5-13,20.2,23.2,16.6,0
133,2013-5-14,21.2,25,15.6,0
134,2013-5-15,21.1,23.4,18.8,0
135,2013-5-16,18.3,21.3,16.5,0
136,2013-5-17,18.4,23.1,15.6,0
137,2013-5-18,20,24.2,16.8,21
138,2013-5-19,19.6,23.2,17.3,20.5
139,2013-5-20,17.8,19.9,16.6,0
140,2013-5-21,18.6,22.3,16.3,0
141,2013-5-22,19.1,23.4,14.6,0
142,2013-5-23,21.4,25.5,18.5,0
143,2013-5-24,22.2,26.5,18,0
144,2013-5-25,23.2,26.7,18.8,0
145,2013-5-26,23.4,26,22,0
146,2013-5-27,20.4,22.7,20,41
147,2013-5-28,20.2,22.3,18,19
148,2013-5-29,20.8,25,17.9,0
149,2013-5-30,18.9,20.7,17.1,0.5
150,2013-5-31,19.4,22.4,16.1,0
151,2013-6-1,18.9,21.2,17.9,0.5
152,2013-6-2,20.9,24.1,17.5,0
153,2013-6-3,21.2,25,17.6,0
154,2013-6-4,21.5,24.8,19.1,0
155,2013-6-5,21.3,24.6,18.4,0
156,2013-6-6,21.4,26.3,16.1,0
157,2013-6-7,22.2,24.7,19.8,0
158,2013-6-8,20.6,23.2,19.4,13.5
159,2013-6-9,20.1,20.8,19.3,11.5
160,2013-6-10,20.6,22.6,19.8,5.5
161,2013-6-11,21.7,22.5,20.6,1
162,2013-6-12,21.6,24.2,19.8,0
163,2013-6-13,21.8,24.1,20.2,0.2
164,2013-6-14,21.2,22.7,19.6,56.5
165,2013-6-15,22.9,26.2,20.4,0
166,2013-6-16,21.8,25.6,19.7,0
167,2013-6-17,22.9,26.2,19.7,1
168,2013-6-18,24.2,24.9,23.2,0.5
169,2013-6-19,23.4,24.5,22.2,19.5
170,2013-6-20,24.5,29.2,21.6,1.5
171,2013-6-21,23.5,28.7,21.3,0.5
172,2013-6-22,21.9,24.8,20.5,0
173,2013-6-23,22.3,26.3,20.5,2.5
174,2013-6-24,21.7,25.3,19.3,5.5
175,2013-6-25,22.5,25.5,20.9,7.5
176,2013-6-26,23,26,20.2,25.5
177,2013-6-27,23,25.2,21.1,3
178,2013-6-28,24.3,28.1,21.9,0
179,2013-6-29,25,28.2,21.9,0.1
180,2013-6-30,24.9,28.3,23.3,0.2
181,2013-7-1,25.7,29.6,23.1,0
182,2013-7-2,25.8,27,24.8,4.5
183,2013-7-3,25.8,28.1,24.4,3
184,2013-7-4,26,26.8,24.8,0.3
185,2013-7-5,24.6,26,22.6,0
186,2013-7-6,23.6,25,22.1,11
187,2013-7-7,25.5,26.4,24.2,0
188,2013-7-8,25.9,27.7,25.1,0
189,2013-7-9,26.5,28.9,25.3,0
190,2013-7-10,27,29.6,25.2,0
191,2013-7-11,27.2,30,25.1,0
192,2013-7-12,28.6,31.4,25.7,0
193,2013-7-13,29.1,31.6,27.5,0
194,2013-7-14,28.2,30.5,27.1,0
195,2013-7-15,27.5,29.7,26.4,0
196,2013-7-16,27.7,30.4,26.2,0
197,2013-7-17,28,30.5,26.8,0
198,2013-7-18,27.9,30.9,26.1,0
199,2013-7-19,28.4,31.5,26.3,0
200,2013-7-20,28.2,30.7,26.8,0
201,2013-7-21,27.9,30.3,26.7,0
202,2013-7-22,28.3,30.9,26.8,0
203,2013-7-23,28,30.7,26.8,0
204,2013-7-24,27.9,30.5,26,0
205,2013-7-25,28.3,32.3,25.8,0
206,2013-7-26,28.1,31.3,26.3,0
207,2013-7-27,27.8,30.8,26.2,0
208,2013-7-28,28.6,31.3,27.5,0
209,2013-7-29,28.1,29.9,27.1,0
210,2013-7-30,28.9,31.6,26.9,0
211,2013-7-31,28.7,31.4,27.2,0
212,2013-8-1,28.7,31.7,27.2,0
213,2013-8-2,29,32.1,27.4,0
214,2013-8-3,28.6,30.6,27.6,0.5
215,2013-8-4,28.9,31.1,27.3,1
216,2013-8-5,27.8,29.7,25.8,4
217,2013-8-6,29.2,31.6,27.2,0.1
218,2013-8-7,29.2,32.1,27.9,0
219,2013-8-8,28.9,31,27.1,0
220,2013-8-9,29.5,32.3,27.3,0
221,2013-8-10,29.9,32.6,28,0
222,2013-8-11,29.3,32.1,27,0
223,2013-8-12,29.4,33.3,26.5,0
224,2013-8-13,29.6,33,26.6,0
225,2013-8-14,29.8,33,26.9,0
226,2013-8-15,29.9,33.3,27.2,0
227,2013-8-16,29.9,33.5,26.6,0.2
228,2013-8-17,30.5,33.8,27.5,0
229,2013-8-18,31.2,34.2,28.4,0
230,2013-8-19,29.6,33,26.8,14.5
231,2013-8-20,30.3,33.6,26.8,0
232,2013-8-21,30.8,34.3,27.2,1
233,2013-8-22,30.1,33.4,27.1,17
234,2013-8-23,29.8,32.6,27.5,8
235,2013-8-24,29,31.4,26.7,10.5
236,2013-8-25,27.1,30.7,25.6,50
237,2013-8-26,27.2,31.8,24.9,0
238,2013-8-27,27.4,31.2,23.4,0
239,2013-8-28,28.1,32.1,23.3,0.5
240,2013-8-29,29.6,32,26.5,8.5
241,2013-8-30,27.2,29.4,25.6,55.5
242,2013-8-31,26.9,30.3,24.1,0
243,2013-9-1,26.3,30.1,22.3,0
244,2013-9-2,27,30.5,23.3,0
245,2013-9-3,25.2,26.6,23,0.5
246,2013-9-4,24.6,29.2,20.4,0
247,2013-9-5,25.2,28.9,22.4,0
248,2013-9-6,23.6,25.1,21.3,13
