year,avgPrice
2013-1-2,2434
2013-1-3,2501
2013-1-4,2483
2013-1-7,2491
2013-1-8,2491
2013-1-9,2491
2013-1-10,2478
2013-1-11,2486
2013-1-14,2486
2013-1-15,2491
2013-1-16,2491
2013-1-17,2551
2013-1-18,2551
2013-1-21,2565
2013-1-22,2565
2013-1-23,2565
2013-1-24,2545
2013-1-25,2529
2013-1-28,2541
2013-1-29,2532
2013-1-30,2532
2013-1-31,2515
2013-2-1,2520
2013-2-4,2431
2013-2-5,2424
2013-2-6,2400
2013-2-7,2438
2013-2-8,2463
2013-2-12,2475
2013-2-13,2499
2013-2-14,2518
2013-2-15,2529
2013-2-18,2535
2013-2-19,2547
2013-2-20,2583
2013-2-21,2737
2013-2-22,2752
2013-2-25,2765
2013-2-26,2761
2013-2-27,2761
2013-2-28,2710
2013-3-4,3094
2013-3-5,3173
2013-3-6,3260
2013-3-7,3316
2013-3-8,3316
2013-3-11,3369
2013-3-12,3335
2013-3-13,3335
2013-3-14,3321
2013-3-15,3143
2013-3-18,3143
2013-3-19,3143
2013-3-20,3143
2013-10-21,2835
2013-10-22,2901
2013-10-23,2913
2013-10-24,2827
2013-10-25,2828
2013-10-28,2869
2013-10-29,2869
2013-10-30,2830
2013-10-31,2898
2013-11-1,2892
2013-11-4,2929
2013-11-5,2891
2013-11-6,2876
2013-11-7,2753
2013-11-8,2749
2013-11-11,2740
2013-11-12,2740
2013-11-13,2740
2013-11-14,2549
2013-11-15,2541
2013-11-18,2607
2013-11-19,2587
2013-11-20,2549
2013-11-21,2623
2013-11-22,2562
2013-11-25,2647
2013-11-26,2680
2013-11-27,2661
2013-11-28,2668
2013-11-29,2693
2013-12-2,2729
2013-12-3,2729
2013-12-4,2729
2013-12-5,2613
2013-12-6,2562
2013-12-9,2599
2013-12-10,2582
2013-12-11,2581
2013-12-12,2446
2013-12-13,2446
2013-12-16,2462
2013-12-17,2471
2013-12-18,2460
2013-12-19,2523
2013-12-20,2519
2013-12-23,2560
2013-12-24,2560
2013-12-26,2572
2013-12-27,2568
2013-12-30,2593
2013-12-31,2570
2014-12-31,2525
2015-1-2,2531
2015-1-5,2437
2015-1-6,2419
2015-1-7,2404
2015-1-8,2423
2015-1-9,2402
2015-1-12,2395
2015-1-13,2390
2015-1-14,2383
2015-1-15,2458
2015-1-16,2470
2015-1-19,2479
2015-1-20,2479
2015-1-21,2479
2015-1-22,2375
2015-1-23,2373
2015-1-26,2393
2015-1-27,2406
2015-1-28,2406
2015-1-29,2380
2015-1-30,2380
2015-2-2,2402
2015-2-3,2398
2015-2-4,2382
2015-2-5,2374
2015-2-6,2366
2015-2-9,2452
2015-2-10,2452
2015-2-11,2457
2015-2-12,2430
2015-2-13,2430
2015-2-16,2426
2015-2-17,2426
2015-2-23,2394
2015-2-24,2394
2015-2-25,2394
2015-2-26,2394
2015-2-27,2407
2015-3-2,2407
2015-3-3,2402
2015-3-4,2499
2015-3-5,2499
2015-3-6,2499
2015-3-9,2499
2015-3-10,2499
2015-3-11,2482
2015-3-12,2498
2015-3-13,3388
2015-3-16,3363
2015-3-17,3464
2015-3-18,3502
2015-3-19,3502
2015-3-20,3468
2015-3-23,3447
2015-3-24,3447
2015-3-25,3500
2015-3-26,3412
2015-3-27,3536
2015-3-30,3551
2015-3-31,3494
2015-4-1,3482
2015-4-2,3482
2015-4-3,3564
2015-4-6,3562
2015-4-7,3562
2015-4-8,3562
2015-4-9,3638
2015-4-10,3638
2015-10-16,3839
2015-10-19,3771
2015-10-20,3713
2015-10-21,3669
2015-10-22,3306
2015-10-23,3292
2015-10-26,3264
2015-10-27,3211
2015-10-28,3187
2015-10-29,2946
2015-10-30,2935
2015-11-2,2739
2015-11-3,2653
2015-11-4,2608
2015-11-5,2333
2015-11-6,2294
2015-11-9,2320
2015-11-10,2285
2015-11-11,2271
2015-11-12,2101
2015-11-13,2100
2015-11-16,2095
2015-11-17,2105
2015-11-18,2108
2015-11-19,2346
2015-11-20,2347
2015-11-23,2374
2015-11-24,2376
2015-11-25,2384
2015-11-26,2261
2015-11-27,2227
2015-11-30,2242
2015-12-1,2190
2015-12-2,2212
2015-12-3,2144
2015-12-7,2142
2015-12-8,2142
2015-12-9,2142
2015-12-10,2117
2015-12-11,2112
2015-12-14,2151
2015-12-15,2165
2015-12-16,2165
2015-12-17,2154
2015-12-18,2174
2015-12-21,2160
2015-12-22,2164
2015-12-23,2146
2015-12-24,2145
2015-12-28,2094
2015-12-29,2109
2015-12-30,2073
2015-12-31,2132
2016-1-4,2156
2016-1-5,2169
2016-1-6,2195
2016-1-7,2203
2016-1-8,2212
2016-1-11,2212
2016-1-12,2187
2016-1-13,2204
2016-1-14,2130
2016-1-15,2126
2016-1-18,2178
2016-1-19,2172
2016-1-20,2176
2016-1-21,2216
2016-1-22,2240
2016-1-25,2253
2016-1-26,2260
2016-1-27,2285
2016-1-28,2328
2016-1-29,2334
2016-2-1,2373
2016-2-2,2455
2016-2-3,2471
2016-2-4,2593
2016-2-5,2603
2016-2-11,2697
2016-2-12,2697
2016-2-15,2767
2016-2-16,2809
2016-2-17,2930
2016-2-18,3141
2016-2-19,3239
2016-2-22,3265
2016-2-23,3319
2016-2-24,3353
2016-2-25,3271
2016-2-26,3271
2016-2-29,3172
2016-3-2,3249
2016-3-3,3249
2016-3-4,3234
2016-3-7,3234
2016-3-8,3255
2016-3-9,3255
2016-3-10,3281
2016-3-11,3281
2016-3-14,3281
2016-3-15,3281
2016-3-16,3281
2016-3-17,3226
2016-3-18,3226
2016-10-11,4207
2016-10-12,4311
2016-10-13,4032
2016-10-14,4017
2016-10-17,3895
2016-10-18,3833
2016-10-19,3802
2016-10-20,3697
2016-10-21,3632
2016-10-24,3544
2016-10-25,3475
2016-10-26,3412
2016-10-27,3056
2016-10-28,3048
2016-10-31,3054
2016-11-1,2999
2016-11-2,2999
2016-11-3,2846
2016-11-4,2821
2016-11-7,2796
2016-11-8,2781
2016-11-9,2761
2016-11-10,2737
2016-11-11,2746
2016-11-14,2758
2016-11-15,2758
2016-11-16,2743
2016-11-17,2635
2016-11-18,2632
2016-11-21,2635
2016-11-22,2629
2016-11-23,2647
2016-11-24,2722
2016-11-25,2712
2016-11-28,2712
2016-11-29,2712
2016-11-30,2736
2016-12-1,2620
2016-12-5,2564
2016-12-6,2557
2016-12-7,2546
2016-12-8,2620
2016-12-9,2644
2016-12-12,2660
2016-12-13,2686
2016-12-14,2677
2016-12-15,2694
2016-12-16,2701
2016-12-19,2714
2016-12-20,2715
2016-12-21,2715
2016-12-22,2737
2016-12-23,2739
2016-12-26,2739
2016-12-27,2764
2016-12-28,2771
2016-12-29,2796
2016-12-30,2798
2017-1-2,2803
2017-1-3,2829
2017-1-4,2851
2017-1-5,2973
2017-1-6,2974
2017-1-9,3004
2017-1-10,3032
2017-1-11,3046
2017-1-12,3047
2017-1-13,3053
2017-1-16,3048
2017-1-17,3100
2017-1-18,3100
2017-1-19,3115
2017-1-20,3110
2017-1-23,3078
2017-1-24,3095
2017-1-25,3093
2017-1-26,3236
2017-1-31,3268
2017-2-1,3270
2017-2-2,3290
2017-2-3,3291
2017-2-6,3334
2017-2-7,3448
2017-2-8,3536
2017-2-9,3619
2017-2-10,3644
2017-2-13,3717
2017-2-14,3762
2017-2-15,3806
2017-2-16,5160
2017-2-17,5214
2017-2-20,5311
2017-2-21,5349
2017-2-22,5330
2017-2-23,5528
2017-2-24,5501
2017-2-27,5494
2017-2-28,5528
2017-3-2,5607
2017-3-3,5804
2017-3-6,5748
2017-3-7,5935
2017-3-8,5959
2017-3-9,6149
2017-3-10,6166
2017-3-13,6236
2017-3-14,6285
2017-3-15,6285
2017-3-16,6285
2017-3-17,6366
2017-3-20,6270
2017-3-21,6145
2017-3-22,6383
2017-10-16,4308
2017-10-17,4271
2017-10-18,4259
2017-10-19,4148
2017-10-20,4191
2017-10-23,4175
2017-10-24,4111
2017-10-25,4044
2017-10-26,3757
2017-10-27,3698
2017-10-30,3646
2017-10-31,3573
2017-11-1,3568
2017-11-2,3533
2017-11-3,3476
2017-11-6,3396
2017-11-7,3377
2017-11-8,3355
2017-11-9,3151
2017-11-10,3064
2017-11-13,3008
2017-11-14,3000
2017-11-15,3000
2017-11-16,2824
2017-11-17,2824
2017-11-20,2818
2017-11-21,2814
2017-11-22,2780
2017-11-23,2883
2017-11-24,2876
2017-11-27,2887
2017-11-28,2875
2017-11-29,2875
2017-11-30,2775
2017-12-4,2715
2017-12-5,2721
2017-12-6,2712
2017-12-7,2775
2017-12-8,2774
2017-12-11,2789
2017-12-12,2789
2017-12-13,2789
2017-12-14,2854
2017-12-15,2830
2017-12-18,2834
2017-12-19,2827
2017-12-20,2861
2017-12-21,2916
2017-12-22,2927
2017-12-26,2943
2017-12-27,2939
2017-12-28,3083
2017-12-29,3107
2018-1-2,3120
2018-1-3,3165
2018-1-4,3220
2018-1-5,3242
2018-1-8,3328
2018-1-9,3292
2018-1-10,3299
2018-1-11,3376
2018-1-12,3371
2018-1-15,3345
2018-1-16,3381
2018-1-17,3406
2018-1-18,3382
2018-1-19,3413
2018-1-22,3394
2018-1-23,3371
2018-1-24,3359
2018-1-25,3322
2018-1-26,3322
2018-1-29,3329
2018-1-30,3345
2018-1-31,3373
2018-2-1,3363
2018-2-2,3356
2018-2-5,3376
2018-2-6,3402
2018-2-7,3421
2018-2-8,3462
2018-2-9,3462
2018-2-12,5005
2018-2-13,5046
2018-2-14,5042
2018-2-19,6938
2018-2-20,6969
2018-2-21,6814
2018-2-22,6725
2018-2-23,6509
2018-2-26,6461
2018-2-27,6462
2018-2-28,6313
2018-3-2,6066
2018-3-5,6106
2018-3-6,6029
2018-3-7,6029
2018-3-8,6138
2018-3-9,6083
2018-10-15,5022
2018-10-16,4961
2018-10-17,4889
2018-10-18,4432
2018-10-19,4387
2018-10-22,4276
2018-10-23,4289
2018-10-24,4148
2018-10-25,3972
2018-10-26,3906
2018-10-29,3688
2018-10-30,3653
2018-10-31,3564
2018-11-1,3497
2018-11-2,3399
2018-11-5,3262
2018-11-6,3253
2018-11-7,3266
2018-11-8,3289
2018-11-9,3260
2018-11-12,3245
2018-11-13,3230
2018-11-14,3208
2018-11-15,2990
2018-11-16,2987
2018-11-19,2984
2018-11-20,2960
2018-11-21,2972
2018-11-22,3132
2018-11-23,3113
2018-11-26,3153
2018-11-27,3138
2018-11-28,3139
2018-11-29,2942
2018-11-30,2861
2018-12-3,2858
2018-12-4,2858
2018-12-5,2842
2018-12-6,2900
2018-12-10,2917
2018-12-11,2917
2018-12-12,2917
2018-12-13,2904
2018-12-14,2899
2018-12-17,2899
2018-12-18,2922
2018-12-19,2922
2018-12-20,3019
2018-12-21,3019
2018-12-24,2992
2018-12-26,2990
2018-12-27,3114
2018-12-28,3101
2018-12-31,3090
2019-1-2,3091
2019-1-3,3106
2019-1-4,3104
2019-1-7,3117
2019-1-8,3117
2019-1-9,3117
2019-1-10,3131
2019-1-11,3136
2019-1-14,3134
2019-1-15,3146
2019-1-16,3104
2019-1-17,3122
2019-1-18,3189
2019-1-21,3171
2019-1-22,3172
2019-1-23,3171
2019-1-24,3135
2019-1-25,3144
2019-1-28,3072
2019-1-29,3056
2019-1-30,3056
2019-1-31,3145
2019-2-1,3218
2019-2-7,3193
2019-2-8,3222
2019-2-11,3261
2019-2-12,3275
2019-2-13,3275
2019-2-14,3294
2019-2-15,3294
2019-2-18,5786
2019-2-19,5678
2019-2-20,5678
2019-2-21,5558
2019-2-22,5505
2019-2-25,5477
2019-2-26,5434
2019-2-27,5528
2019-2-28,5296
2019-3-4,5342
2019-3-5,5300
2019-3-6,5267
2019-3-7,5170
2019-3-8,5192
2019-3-11,5344
2019-3-12,5419
2019-3-13,5338
2019-3-14,5553
2019-3-15,5574
2019-3-18,5628
2019-3-19,5636
2019-3-20,5567
2019-10-11,5969
2019-10-14,5995
2019-10-15,5569
2019-10-16,5257
2019-10-17,4843
2019-10-18,4773
2019-10-21,4779
2019-10-22,4570
2019-10-23,4388
2019-10-24,4352
2019-10-25,4216
2019-10-28,4118
2019-10-29,4001
2019-10-30,4013
2019-10-31,3637
2019-11-1,3150
2019-11-4,3131
2019-11-5,3157
2019-11-6,3135
2019-11-7,2998
2019-11-8,2984
2019-11-11,3032
2019-11-12,2987
2019-11-13,2975
2019-11-14,2897
2019-11-15,2897
2019-11-18,2850
2019-11-19,2842
2019-11-20,2853
2019-11-21,2840
2019-11-22,2831
2019-11-25,2829
2019-11-26,2793
2019-11-27,2799
2019-11-28,2638
2019-11-29,2623
2019-12-2,2660
2019-12-3,2666
2019-12-4,2664
2019-12-5,2691
2019-12-9,2713
2019-12-10,2718
2019-12-11,2693
2019-12-12,2647
2019-12-13,2645
2019-12-16,2641
2019-12-17,2641
2019-12-18,2653
2019-12-19,2614
2019-12-20,2617
2019-12-23,2621
2019-12-24,2618
2019-12-26,2569
2019-12-27,2569
2019-12-30,2574
2019-12-31,2574
2020-1-2,2543
2020-1-3,2542
2020-1-6,2539
2020-1-7,2526
2020-1-8,2540
2020-1-9,2540
2020-1-10,2573
2020-1-13,2556
2020-1-14,2552
2020-1-15,2572
2020-1-16,2617
2020-1-17,2617
2020-1-20,2645
2020-1-21,2647
2020-1-22,2653
2020-1-23,2686
2020-1-28,2755
2020-1-29,2780
2020-1-30,2812
2020-1-31,2750
2020-2-3,2768
2020-2-4,2772
2020-2-5,2741
2020-2-6,2729
2020-2-7,2729
2020-2-10,2660
2020-2-11,2635
2020-2-12,2635
2020-2-13,2631
2020-2-14,2631
2020-2-17,2631
2020-2-18,2714
2020-2-19,2741
2020-2-20,2758
2020-2-21,2743
2020-2-24,6453
2020-2-25,6379
2020-2-26,6579
2020-2-27,6416
2020-2-28,6534
2020-3-2,6618
2020-3-3,6618
2020-3-4,6542
2020-3-5,6925
2020-3-6,6881
2020-3-9,6739
2020-3-10,6591
2020-3-11,6591
2020-3-12,6158
2020-3-13,6076
2020-10-14,6436
2020-10-15,6333
2020-10-16,6238
2020-10-19,4918
2020-10-20,4632
2020-10-21,4648
2020-10-22,4429
2020-10-23,4382
2020-10-26,4193
2020-10-27,4149
2020-10-28,3435
2020-10-29,3343
2020-10-30,3290
2020-11-2,3197
2020-11-3,3143
2020-11-4,3120
2020-11-5,3255
2020-11-6,3255
2020-11-9,3256
2020-11-10,3223
2020-11-11,3219
2020-11-12,2935
2020-11-13,2936
2020-11-16,2881
2020-11-17,2903
2020-11-18,2930
2020-11-19,2910
2020-11-20,2873
2020-11-23,2796
2020-11-24,2769
2020-11-25,2750
2020-11-26,2828
2020-11-27,2825
2020-11-30,2840
2020-12-1,2840
2020-12-2,2825
2020-12-3,2839
2020-12-7,2792
2020-12-8,2777
2020-12-9,2793
2020-12-10,2734
2020-12-11,2696
2020-12-14,2694
2020-12-15,2666
2020-12-16,2637
2020-12-17,2585
2020-12-18,2585
2020-12-21,2585
2020-12-22,2558
2020-12-23,2575
2020-12-24,2579
2020-12-28,2590
2020-12-29,2582
2020-12-30,2587
2020-12-31,2534
2021-1-4,2505
2021-1-5,2492
2021-1-6,2494
2021-1-7,2608
2021-1-8,2576
2021-1-11,2605
2021-1-12,2615
2021-1-13,2641
2021-1-14,2577
2021-1-15,2579
2021-1-18,2607
2021-1-19,2671
2021-1-20,2674
2021-1-21,2674
2021-1-22,2685
2021-1-25,2785
2021-1-26,2785
2021-1-27,2725
2021-1-28,2752
2021-1-29,2724
2021-2-1,2763
2021-2-2,2763
2021-2-3,2803
2021-2-4,2804
2021-2-5,2804
2021-2-8,2804
2021-2-9,2790
2021-2-10,2781
2021-2-15,2796
2021-2-16,2796
2021-2-17,2790
2021-2-18,2782
2021-2-19,2786
2021-2-22,2786
2021-2-23,2786
2021-2-24,2786
2021-2-25,2785
2021-2-26,2813
2021-3-2,2813
2021-3-3,2815
2021-3-4,2815
2021-3-5,2846
2021-3-8,2846
2021-3-9,2829
2021-3-10,2829
2021-3-11,4872
2021-3-12,5085
2021-3-15,4987
2021-3-16,5113
2021-3-17,6339
2021-3-18,6561
2021-3-19,6738
2021-3-22,6827
2021-3-23,6827
2021-3-24,6827
2021-3-25,6357
2021-3-26,6447
2021-3-29,6381
2021-3-30,6381
2021-3-31,6392
2021-4-1,6872
2021-4-2,6829
2021-4-5,6922
2021-4-6,6922
2021-4-7,7164
2021-7-13,8743
2021-7-14,8961
2021-7-15,9009
2021-7-16,9159
2021-7-19,9028
2021-7-20,9076
2021-7-21,9083
2021-7-22,8986
2021-7-23,8975
2021-7-26,9109
2021-7-27,8986
2021-7-28,8917
2021-7-29,8714
2021-7-30,8714
2021-8-2,8745
2021-8-3,8687
2021-8-4,8687
2021-8-5,8720
2021-8-6,8635
2021-8-9,8662
2021-8-10,8759
2021-8-11,8668
2021-8-12,8752
2021-8-13,8834
2021-8-17,8791
2021-8-18,8791
2021-8-19,8627
2021-8-20,8670
2021-8-23,8583
2021-8-24,8583
2021-8-25,8562
2021-8-26,8656
2021-8-27,8677
2021-8-30,8587
2021-8-31,8690
2021-9-1,8725
2021-9-2,8829
2021-9-3,8817
2021-9-6,8760
2021-9-7,8691
2021-9-8,8712
2021-9-9,8733
2021-9-10,8750
2021-9-13,8741
2021-9-14,8776
2021-9-15,8756
2021-9-16,8846
2021-9-17,8871
2021-9-23,8927
2021-9-24,8803
2021-9-27,8667
2021-9-28,8686
2021-9-29,8653
2021-9-30,8877
2021-10-1,8841
2021-10-5,8474
2021-10-6,8330
2021-10-7,7956
2021-10-8,7924
2021-10-12,7942
2021-10-13,7712
2021-10-14,7468
2021-10-15,7315
2021-10-18,7134
2021-10-19,7073
2021-10-20,6993
2021-10-21,6826
2021-10-22,6787
2021-10-25,6753
2021-10-26,4554
2021-10-27,4221
2021-10-28,3232
2021-10-29,3746
2021-11-1,3210
2021-11-2,3168
2021-11-3,3172
2021-11-4,3171
2021-11-5,3165
2021-11-8,3186
2021-11-9,3173
2021-11-10,3164
2021-11-11,3094
2021-11-12,3085
2021-11-15,3075
2021-11-16,3075
2021-11-17,3038
2021-11-18,3048
2021-11-19,3047
2021-11-22,2845
2021-11-23,2889
2021-11-24,2918
2021-11-25,2908
2021-11-26,2904
2021-11-29,2939
2021-11-30,2932
2021-12-1,2902
2021-12-2,2916
2021-12-6,2925
2021-12-7,2923
2021-12-8,2920
2021-12-9,2920
2021-12-10,2933
2021-12-13,2927
2021-12-14,2927
2021-12-15,2910
2021-12-16,2832
2021-12-17,2815
2021-12-20,2850
2021-12-21,2859
2021-12-22,2859
2021-12-23,2868
2021-12-24,2801
2021-12-27,2790
2021-12-28,2798
2021-12-29,2804
2021-12-30,2895
2021-12-31,2900
2022-1-3,2870
2022-1-4,2888
2022-1-5,2891
2022-1-6,2964
2022-1-7,2983
2022-1-10,3042
2022-1-11,3039
2022-1-12,3095
2022-1-13,3087
2022-1-14,3087
2022-1-17,3106
2022-1-18,3096
2022-1-19,3087
2022-1-20,3114
2022-1-21,3113
2022-1-24,3090
2022-1-25,3092
2022-1-26,3092
2022-1-27,3037
2022-1-28,3037
2022-2-3,2903
2022-2-4,2904
2022-2-7,2904
2022-2-8,2904
2022-2-9,2901
2022-2-10,2924
2022-2-11,3021
2022-2-14,3021
2022-2-15,3075
